Situation,Time,Goals For,Goals Against,TeamID,Team Name
Even,430:49.1,32,32,692,Gang Green 2
5 on 5,428:37.0,32,32,692,Gang Green 2
4 on 4,02:12.1,0,0,692,Gang Green 2
3 on 3,00:00.0,0,0,692,Gang Green 2
Power Play,21:39.9,2,3,692,Gang Green 2
5 on 4,21:39.9,2,3,692,Gang Green 2
5 on 3,00:00.0,0,0,692,Gang Green 2
4 on 3,00:00.0,0,0,692,Gang Green 2
Penalty Kill,42:31.0,0,2,692,Gang Green 2
4 on 5,41:55.0,0,2,692,Gang Green 2
3 on 5,00:36.0,0,0,692,Gang Green 2
3 on 4,00:00.0,0,0,692,Gang Green 2
Total,495:00.0,34,37,692,Gang Green 2
Even,411:44.0,31,27,3424,Oakland Reapers
5 on 5,409:54.8,31,27,3424,Oakland Reapers
4 on 4,01:49.2,0,0,3424,Oakland Reapers
3 on 3,00:00.0,0,0,3424,Oakland Reapers
Power Play,39:27.6,5,0,3424,Oakland Reapers
5 on 4,36:39.8,4,0,3424,Oakland Reapers
5 on 3,02:47.8,1,0,3424,Oakland Reapers
4 on 3,00:00.0,0,0,3424,Oakland Reapers
Penalty Kill,43:48.4,2,5,3424,Oakland Reapers
4 on 5,41:20.5,2,4,3424,Oakland Reapers
3 on 5,02:27.9,0,1,3424,Oakland Reapers
3 on 4,00:00.0,0,0,3424,Oakland Reapers
Total,495:00.0,38,32,3424,Oakland Reapers
Even,443:12.1,39,33,4679,Silver Bullets 2
5 on 5,441:48.1,39,33,4679,Silver Bullets 2
4 on 4,01:24.0,0,0,4679,Silver Bullets 2
3 on 3,00:00.0,0,0,4679,Silver Bullets 2
Power Play,25:45.4,5,0,4679,Silver Bullets 2
5 on 4,25:45.4,5,0,4679,Silver Bullets 2
5 on 3,00:00.0,0,0,4679,Silver Bullets 2
4 on 3,00:00.0,0,0,4679,Silver Bullets 2
Penalty Kill,26:02.5,2,4,4679,Silver Bullets 2
4 on 5,26:02.5,2,4,4679,Silver Bullets 2
3 on 5,00:00.0,0,0,4679,Silver Bullets 2
3 on 4,00:00.0,0,0,4679,Silver Bullets 2
Total,495:00.0,46,37,4679,Silver Bullets 2
Even,493:46.3,57,36,2585,No Regretzkys
5 on 5,491:34.2,57,35,2585,No Regretzkys
4 on 4,02:12.1,0,1,2585,No Regretzkys
3 on 3,00:00.0,0,0,2585,No Regretzkys
Power Play,33:23.0,6,2,2585,No Regretzkys
5 on 4,30:50.7,6,2,2585,No Regretzkys
5 on 3,02:32.3,0,0,2585,No Regretzkys
4 on 3,00:00.0,0,0,2585,No Regretzkys
Penalty Kill,12:23.4,1,3,2585,No Regretzkys
4 on 5,12:23.4,1,3,2585,No Regretzkys
3 on 5,00:00.0,0,0,2585,No Regretzkys
3 on 4,00:00.0,0,0,2585,No Regretzkys
Total,539:32.7,64,41,2585,No Regretzkys
Even,473:39.3,34,50,4680,Sofa King Old
5 on 5,471:38.3,34,50,4680,Sofa King Old
4 on 4,02:01.0,0,0,4680,Sofa King Old
3 on 3,00:00.0,0,0,4680,Sofa King Old
Power Play,37:48.2,7,2,4680,Sofa King Old
5 on 4,35:27.0,6,2,4680,Sofa King Old
5 on 3,01:59.3,1,0,4680,Sofa King Old
4 on 3,00:21.9,0,0,4680,Sofa King Old
Penalty Kill,28:15.1,1,5,4680,Sofa King Old
4 on 5,25:30.0,1,4,4680,Sofa King Old
3 on 5,02:45.1,0,1,4680,Sofa King Old
3 on 4,00:00.0,0,0,4680,Sofa King Old
Total,539:42.6,42,57,4680,Sofa King Old
Even,395:50.8,33,25,4719,Lot Lizards
5 on 5,387:30.0,32,25,4719,Lot Lizards
4 on 4,08:20.8,1,0,4719,Lot Lizards
3 on 3,00:00.0,0,0,4719,Lot Lizards
Power Play,48:56.7,6,2,4719,Lot Lizards
5 on 4,44:18.3,5,2,4719,Lot Lizards
5 on 3,04:38.4,1,0,4719,Lot Lizards
4 on 3,00:00.0,0,0,4719,Lot Lizards
Penalty Kill,50:12.5,3,10,4719,Lot Lizards
4 on 5,45:22.7,3,9,4719,Lot Lizards
3 on 5,04:27.9,0,1,4719,Lot Lizards
3 on 4,00:21.9,0,0,4719,Lot Lizards
Total,495:00.0,42,37,4719,Lot Lizards
Even,465:55.0,30,61,4400,Silver Squids
5 on 5,465:55.0,30,61,4400,Silver Squids
4 on 4,00:00.0,0,0,4400,Silver Squids
3 on 3,00:00.0,0,0,4400,Silver Squids
Power Play,17:58.3,4,1,4400,Silver Squids
5 on 4,17:58.3,4,1,4400,Silver Squids
5 on 3,00:00.0,0,0,4400,Silver Squids
4 on 3,00:00.0,0,0,4400,Silver Squids
Penalty Kill,10:56.8,1,2,4400,Silver Squids
4 on 5,10:56.8,1,2,4400,Silver Squids
3 on 5,00:00.0,0,0,4400,Silver Squids
3 on 4,00:00.0,0,0,4400,Silver Squids
Total,494:50.1,35,64,4400,Silver Squids
Even,440:26.0,40,32,677,Prairie Dogs
5 on 5,439:17.8,40,32,677,Prairie Dogs
4 on 4,01:08.2,0,0,677,Prairie Dogs
3 on 3,00:00.0,0,0,677,Prairie Dogs
Power Play,21:52.3,2,1,677,Prairie Dogs
5 on 4,21:52.3,2,1,677,Prairie Dogs
5 on 3,00:00.0,0,0,677,Prairie Dogs
4 on 3,00:00.0,0,0,677,Prairie Dogs
Penalty Kill,32:41.7,1,6,677,Prairie Dogs
4 on 5,31:00.8,1,6,677,Prairie Dogs
3 on 5,01:40.9,0,0,677,Prairie Dogs
3 on 4,00:00.0,0,0,677,Prairie Dogs
Total,495:00.0,43,39,677,Prairie Dogs
